Temp (°C),Dew Point Temp (°C),Rel Hum (%),Precip. Amount (mm),Wind Spd (km/h),Stn Press (kPa),Visibility (km),Weather
7.2,5.4,88.0,0.0,15.0,101.46,16.1,0
7.1,5.3,88.0,0.0,13.0,101.39,16.1,0
7.3,5.5,88.0,0.0,15.0,101.35,16.1,0
6.7,4.7,87.0,0.0,15.0,101.29,16.1,0
7.1,4.6,84.0,0.0,21.0,101.23,16.1,0
7.4,5.4,87.0,0.0,18.0,101.2,16.1,0
6.8,3.2,78.0,0.0,18.0,101.2,16.1,0
6.4,2.5,76.0,0.0,21.0,101.14,16.1,0
6.3,3.3,81.0,0.0,21.0,101.1,16.1,0
6.7,3.7,81.0,0.0,22.0,101.08,16.1,0
7.5,4.0,78.0,0.0,15.0,101.1,16.1,0
8.3,5.1,80.0,0.0,18.0,101.02,16.1,0
8.8,5.9,82.0,0.0,28.0,100.97,16.1,0
9.1,7.1,87.0,0.0,26.0,100.84,16.1,0
9.3,8.4,94.0,0.0,28.0,100.7,11.3,0
9.0,9.0,100.0,1.0,30.0,100.65,2.0,12
9.2,9.2,100.0,1.8,28.0,100.62,2.8,2
9.1,9.1,100.0,1.5,28.0,100.59,2.0,2
9.2,9.2,100.0,2.5,21.0,100.56,1.6,2
9.2,9.2,100.0,1.5,26.0,100.55,4.8,2
9.3,9.3,100.0,0.8,24.0,100.54,3.2,2
9.4,9.4,100.0,1.2,24.0,100.49,3.6,2
9.4,9.4,100.0,0.5,22.0,100.46,3.2,2
9.2,9.2,100.0,0.2,24.0,100.44,3.6,2
9.1,9.1,100.0,0.2,13.0,100.42,2.8,2
9.0,9.0,100.0,0.2,15.0,100.39,4.8,2
9.1,9.1,100.0,0.0,13.0,100.37,16.1,5
9.3,9.3,100.0,0.5,9.0,100.38,16.1,5
9.5,9.3,98.0,0.2,8.0,100.36,12.9,5
9.4,9.3,99.0,0.0,8.0,100.39,16.1,0
9.4,9.4,100.0,0.0,5.0,100.44,6.4,3
9.1,9.1,100.0,0.2,5.0,100.46,4.0,2
9.0,9.0,100.0,0.0,8.0,100.49,4.8,3
9.0,9.0,100.0,0.0,8.0,100.55,16.1,0
9.2,9.2,100.0,0.0,9.0,100.6,4.8,3
9.6,9.6,100.0,0.0,13.0,100.58,12.9,0
10.5,9.1,91.0,0.0,13.0,100.62,16.1,0
10.9,9.5,91.0,0.0,13.0,100.58,16.1,0
10.9,8.9,87.0,0.0,11.0,100.51,16.1,0
10.1,8.7,91.0,0.0,18.0,100.5,16.1,0
10.5,7.8,83.0,0.0,13.0,100.43,16.1,0
10.4,7.6,83.0,0.0,11.0,100.44,12.9,0
9.4,7.5,88.0,0.0,4.0,100.47,11.3,0
9.4,6.9,84.0,0.0,8.0,100.47,11.3,0
8.7,7.2,90.0,0.0,8.0,100.46,8.1,3
8.2,7.9,98.0,0.0,9.0,100.44,6.4,3
8.4,8.0,97.0,0.0,4.0,100.4,4.8,3
7.9,7.4,97.0,0.0,0.0,100.31,6.4,3
7.1,7.1,100.0,0.0,0.0,100.26,4.8,3
7.9,7.9,100.0,0.0,4.0,100.21,4.0,3
8.8,8.4,97.0,0.0,15.0,100.1,6.4,3
8.8,8.4,97.0,0.0,11.0,99.92,9.7,3
8.7,8.2,97.0,0.0,17.0,99.85,9.7,3
8.5,7.8,95.0,0.0,15.0,99.58,9.7,3
8.3,7.2,93.0,0.0,15.0,99.55,11.3,0
8.9,6.7,86.0,0.0,17.0,99.49,16.1,0
8.3,7.1,92.0,0.2,21.0,99.2,8.1,2
8.3,8.0,98.0,0.8,17.0,99.12,9.7,3
8.8,8.2,96.0,0.2,21.0,98.92,12.9,5
9.4,8.2,92.0,0.0,15.0,98.8,16.1,0
9.5,8.4,93.0,0.0,15.0,98.61,16.1,0
10.9,10.0,94.0,0.0,15.0,98.45,16.1,0
11.1,10.5,96.0,0.2,30.0,98.31,16.1,5
10.9,6.0,72.0,0.0,43.0,98.42,16.1,0
9.9,5.4,73.0,0.0,45.0,98.49,16.1,0
9.7,5.6,75.0,0.0,39.0,98.52,16.1,0
9.7,5.7,76.0,0.0,41.0,98.5,16.1,5
9.5,6.1,79.0,0.0,45.0,98.5,16.1,0
9.4,6.7,83.0,0.0,37.0,98.48,16.1,0
10.2,6.8,79.0,0.0,43.0,98.51,16.1,0
10.8,6.4,74.0,0.0,52.0,98.52,16.1,0
10.8,6.5,74.0,0.0,48.0,98.54,16.1,0
10.7,6.3,74.0,0.0,58.0,98.57,16.1,0
10.5,6.0,74.0,0.0,61.0,98.63,16.1,0
10.2,5.4,72.0,0.0,48.0,98.73,16.1,0
10.0,5.0,71.0,0.0,48.0,98.82,16.1,0
9.8,5.0,72.0,0.0,39.0,98.89,16.1,0
9.3,4.6,72.0,0.0,46.0,98.91,16.1,0
8.9,5.2,77.0,0.0,34.0,99.03,16.1,0
8.2,3.3,71.0,0.0,41.0,99.09,16.1,0
7.9,3.4,73.0,0.0,35.0,99.16,16.1,0
7.6,2.9,72.0,0.0,41.0,99.25,16.1,0
7.6,2.5,70.0,0.0,34.0,99.32,16.1,0
7.3,1.7,68.0,0.0,37.0,99.38,16.1,0
7.8,0.7,61.0,0.0,43.0,99.4,16.1,0
8.2,-0.2,55.0,0.0,43.0,99.37,16.1,0
8.0,-0.1,57.0,0.0,41.0,99.35,16.1,0
8.2,-0.3,55.0,0.0,34.0,99.39,16.1,0
6.9,1.3,68.0,0.0,41.0,99.45,16.1,0
6.2,1.0,69.0,0.0,43.0,99.54,16.1,0
5.8,1.1,72.0,0.0,39.0,99.62,16.1,0
6.0,1.3,72.0,0.0,35.0,99.72,16.1,0
5.8,1.2,72.0,0.0,37.0,99.79,16.1,0
5.5,2.0,78.0,0.0,30.0,99.88,16.1,0
5.4,0.6,71.0,0.0,32.0,99.99,16.1,0
4.7,0.1,72.0,0.0,26.0,100.11,16.1,0
4.5,-0.8,69.0,0.0,21.0,100.21,16.1,0
3.2,0.4,82.0,0.0,24.0,100.34,16.1,5
3.2,-2.6,66.0,0.0,24.0,100.43,16.1,0
2.8,-4.6,58.0,0.0,26.0,100.56,16.1,0
2.3,-4.2,62.0,0.0,24.0,100.68,16.1,0
2.4,-3.8,64.0,0.0,32.0,100.79,16.1,0
2.3,-3.7,65.0,0.0,21.0,100.92,16.1,0
2.6,-3.4,65.0,0.0,18.0,101.01,16.1,0
2.4,-3.9,63.0,0.0,21.0,101.09,16.1,0
2.6,-3.3,65.0,0.0,17.0,101.21,16.1,0
3.3,-2.8,65.0,0.0,18.0,101.27,16.1,0
4.4,-2.6,60.0,0.0,24.0,101.29,16.1,0
5.6,-2.9,54.0,0.0,28.0,101.32,16.1,0
5.4,-2.9,55.0,0.0,28.0,101.32,16.1,0
5.6,-2.6,56.0,0.0,22.0,101.33,16.1,0
6.0,-1.2,60.0,0.0,22.0,101.32,16.1,0
6.2,-0.8,61.0,0.0,21.0,101.38,16.1,0
6.6,-0.9,59.0,0.0,21.0,101.4,16.1,0
6.3,0.8,68.0,0.0,24.0,101.42,16.1,0
5.7,0.7,70.0,0.0,18.0,101.48,16.1,0
5.7,1.1,72.0,0.0,24.0,101.47,16.1,0
4.8,0.4,73.0,0.0,18.0,101.45,16.1,0
4.7,0.7,75.0,0.0,21.0,101.48,16.1,0
4.0,0.5,78.0,0.0,15.0,101.43,16.1,0
4.3,-0.2,72.0,0.0,21.0,101.36,16.1,0
5.2,1.3,76.0,0.0,21.0,101.34,16.1,0
5.2,1.9,79.0,0.0,15.0,101.29,16.1,0
5.1,0.8,74.0,0.0,11.0,101.26,16.1,0
5.2,0.7,73.0,0.0,17.0,101.2,16.1,0
6.0,2.7,79.0,0.0,21.0,101.16,16.1,0
5.8,3.5,85.0,0.0,17.0,101.15,16.1,0
5.0,3.0,87.0,0.0,13.0,101.18,16.1,0
5.2,0.6,72.0,0.0,9.0,101.18,16.1,0
5.3,2.1,80.0,0.0,9.0,101.22,16.1,0
7.3,3.1,74.0,0.0,11.0,101.25,16.1,0
7.9,3.5,74.0,0.0,13.0,101.24,16.1,0
8.1,3.9,75.0,0.0,9.0,101.23,16.1,0
9.8,4.2,68.0,0.0,11.0,101.16,16.1,0
10.2,5.1,70.0,0.0,11.0,101.14,16.1,0
11.0,5.3,68.0,0.0,15.0,101.08,16.1,0
10.1,5.9,75.0,0.0,9.0,101.06,16.1,0
12.3,5.7,64.0,0.0,18.0,101.09,16.1,0
10.2,5.6,73.0,0.0,21.0,101.12,16.1,0
9.8,5.7,76.0,0.0,15.0,101.17,16.1,0
10.9,5.5,69.0,0.0,11.0,101.2,16.1,0
11.6,5.5,66.0,0.0,8.0,101.22,16.1,0
8.0,4.8,80.0,0.0,5.0,101.24,16.1,0
8.0,5.4,83.0,0.0,0.0,101.26,16.1,0
5.8,5.2,96.0,0.0,4.0,101.25,16.1,0
5.9,5.9,100.0,0.0,5.0,101.29,14.5,0
5.7,5.7,100.0,0.0,8.0,101.29,12.9,0
5.3,5.3,100.0,0.0,4.0,101.31,11.3,0
6.1,6.0,99.0,0.0,5.0,101.32,16.1,0
5.1,5.1,100.0,0.0,11.0,101.37,12.9,0
5.3,5.3,100.0,0.0,8.0,101.39,9.7,3
4.4,4.4,100.0,0.0,11.0,101.42,9.7,3
4.7,4.6,99.0,0.0,8.0,101.45,14.5,0
5.2,4.2,93.0,0.0,0.0,101.51,16.1,0
7.9,6.1,88.0,0.0,0.0,101.54,14.5,0
8.4,5.5,82.0,0.0,11.0,101.59,16.1,0
9.7,6.2,79.0,0.0,13.0,101.62,16.1,0
9.8,6.7,81.0,0.0,11.0,101.62,16.1,0
10.1,6.5,78.0,0.0,21.0,101.61,16.1,0
9.6,5.7,77.0,0.0,21.0,101.62,16.1,0
9.3,5.7,78.0,0.0,22.0,101.64,16.1,0
8.6,6.1,84.0,0.0,17.0,101.69,16.1,0
7.9,5.9,87.0,0.0,21.0,101.7,16.1,0
7.9,6.4,90.0,0.0,18.0,101.73,16.1,0
7.5,6.0,90.0,0.0,17.0,101.8,16.1,0
7.8,5.5,85.0,0.0,18.0,101.84,16.1,0
7.6,4.7,82.0,0.0,22.0,101.86,16.1,0
7.0,4.7,85.0,0.0,17.0,101.92,16.1,0
6.6,4.6,87.0,0.0,24.0,101.93,16.1,0
7.0,3.6,79.0,0.0,32.0,101.98,16.1,0
6.4,2.7,77.0,0.0,32.0,102.01,16.1,0
6.0,2.7,79.0,0.0,35.0,102.01,16.1,0
5.3,2.9,85.0,0.0,34.0,102.02,16.1,0
6.2,2.8,79.0,0.0,28.0,102.02,16.1,0
4.2,2.2,87.0,0.0,26.0,102.04,16.1,0
3.7,1.6,86.0,0.0,30.0,102.05,16.1,0
3.7,1.6,86.0,0.0,28.0,102.12,16.1,0
4.3,2.3,87.0,0.0,35.0,102.08,16.1,0
5.1,2.8,85.0,0.0,43.0,102.02,16.1,0
5.0,2.9,86.0,0.0,45.0,102.06,16.1,0
5.5,3.5,87.0,0.0,39.0,102.05,16.1,0
6.3,3.8,84.0,0.0,41.0,101.94,16.1,0
6.4,3.7,83.0,0.0,43.0,101.86,16.1,0
7.4,4.2,80.0,0.0,39.0,101.79,16.1,0
6.7,3.3,79.0,0.0,45.0,101.72,16.1,0
6.7,4.2,84.0,0.0,41.0,101.69,16.1,0
6.8,4.0,82.0,0.0,37.0,101.68,16.1,0
6.9,4.2,83.0,0.0,35.0,101.71,16.1,0
6.9,4.4,84.0,0.0,37.0,101.66,16.1,0
7.2,4.7,84.0,0.0,35.0,101.55,16.1,0
7.8,5.3,84.0,0.0,32.0,101.57,16.1,0
8.3,5.4,82.0,0.0,28.0,101.51,16.1,0
8.4,5.1,80.0,0.0,24.0,101.44,16.1,0
8.7,5.6,81.0,0.0,21.0,101.39,16.1,0
9.2,5.4,77.0,0.0,17.0,101.37,16.1,0
9.0,5.9,81.0,0.0,18.0,101.35,16.1,0
8.9,5.8,81.0,0.0,22.0,101.3,16.1,0
8.8,6.1,83.0,0.0,22.0,101.26,16.1,0
8.9,6.4,84.0,0.0,17.0,101.25,16.1,0
8.9,6.7,86.0,0.0,21.0,101.19,16.1,0
9.1,6.9,86.0,0.0,18.0,101.21,16.1,0
9.2,7.2,87.0,0.0,18.0,101.21,16.1,0
10.0,7.4,84.0,0.0,17.0,101.19,16.1,0
10.5,7.5,81.0,0.0,17.0,101.14,16.1,0
10.3,7.4,82.0,0.0,17.0,101.09,16.1,0
10.1,7.5,84.0,0.0,15.0,100.98,16.1,0
9.7,7.3,85.0,0.0,24.0,100.89,16.1,0
10.0,7.4,84.0,0.0,26.0,100.8,16.1,0
9.9,7.3,84.0,0.0,26.0,100.75,16.1,0
9.5,7.3,86.0,0.0,24.0,100.67,16.1,0
9.0,8.6,97.0,0.0,21.0,100.62,16.1,0
10.4,9.6,95.0,0.2,22.0,100.54,16.1,5
10.2,9.6,96.0,0.8,18.0,100.51,16.1,0
10.4,9.0,91.0,0.0,18.0,100.49,16.1,0
10.5,9.1,91.0,0.8,21.0,100.46,14.5,5
10.2,8.8,91.0,0.0,18.0,100.37,16.1,0
11.7,9.1,84.0,0.0,17.0,100.22,16.1,0
10.3,9.1,92.0,0.2,15.0,100.22,16.1,5
12.9,10.8,87.0,0.0,11.0,100.11,16.1,0
14.0,10.8,81.0,0.0,9.0,100.04,16.1,5
11.0,9.6,91.0,0.0,13.0,100.09,16.1,5
10.8,10.4,97.0,0.2,5.0,100.12,16.1,5
12.0,11.5,97.0,0.2,11.0,100.07,16.1,5
11.5,11.4,99.0,0.0,4.0,100.02,16.1,0
12.5,12.0,97.0,0.0,13.0,99.99,16.1,5
11.9,11.6,98.0,0.0,17.0,99.95,16.1,0
10.5,10.5,100.0,0.0,13.0,100.02,16.1,0
12.0,9.4,84.0,0.0,32.0,100.03,16.1,0
11.4,8.1,80.0,0.0,21.0,100.03,16.1,0
12.5,7.6,72.0,0.0,32.0,99.98,16.1,0
11.5,7.3,75.0,0.0,28.0,99.97,16.1,0
11.3,7.2,76.0,0.0,30.0,99.97,16.1,0
11.2,5.6,68.0,0.0,30.0,99.98,16.1,0
11.2,5.4,67.0,0.0,30.0,100.03,16.1,0
11.4,5.6,68.0,0.0,37.0,100.09,16.1,0
11.1,4.4,63.0,0.0,41.0,100.13,16.1,0
10.3,4.3,66.0,0.0,35.0,100.21,16.1,0
9.4,3.7,67.0,0.0,37.0,100.32,16.1,0
8.9,2.1,62.0,0.0,34.0,100.41,16.1,0
8.4,-2.3,47.0,0.0,39.0,100.5,16.1,0
7.1,-4.5,44.0,0.0,37.0,100.63,16.1,0
5.9,-3.7,50.0,0.0,21.0,100.71,16.1,0
5.6,-5.9,43.0,0.0,37.0,100.78,16.1,0
5.2,-3.5,53.0,0.0,26.0,100.83,16.1,0
4.9,-4.0,52.0,0.0,39.0,100.84,16.1,0
4.4,-2.3,62.0,0.0,30.0,100.88,16.1,0
4.2,-2.7,61.0,0.0,34.0,100.88,16.1,0
4.1,-2.7,61.0,0.0,39.0,100.9,16.1,0
4.2,-2.2,63.0,0.0,35.0,100.94,16.1,0
4.2,-2.8,60.0,0.0,35.0,100.99,16.1,0
5.0,-3.3,55.0,0.0,37.0,101.01,16.1,0
5.5,-3.4,53.0,0.0,39.0,101.05,16.1,0
6.5,-4.0,47.0,0.0,39.0,101.11,16.1,0
6.6,-4.2,46.0,0.0,34.0,101.11,16.1,0
6.4,-4.9,44.0,0.0,28.0,101.12,16.1,0
6.1,-5.6,43.0,0.0,35.0,101.16,16.1,0
6.6,-5.5,42.0,0.0,28.0,101.22,16.1,0
5.9,-5.7,43.0,0.0,30.0,101.29,16.1,0
5.3,-5.3,47.0,0.0,28.0,101.38,16.1,0
4.7,-5.1,49.0,0.0,17.0,101.44,16.1,0
4.6,-5.2,49.0,0.0,11.0,101.45,16.1,0
3.6,-4.5,55.0,0.0,5.0,101.47,16.1,0
1.4,-2.8,74.0,0.0,5.0,101.45,16.1,0
2.3,-2.4,71.0,0.0,5.0,101.47,16.1,0
4.0,-2.6,62.0,0.0,11.0,101.45,16.1,0
3.9,-3.5,59.0,0.0,9.0,101.45,16.1,0
3.3,-3.2,62.0,0.0,9.0,101.49,16.1,0
3.4,-4.5,56.0,0.0,9.0,101.52,16.1,0
3.9,-4.5,55.0,0.0,8.0,101.55,16.1,0
3.7,-4.1,57.0,0.0,8.0,101.5,16.1,0
3.5,-4.1,58.0,0.0,4.0,101.49,16.1,0
3.7,-2.4,64.0,0.0,9.0,101.48,16.1,0
3.6,0.1,78.0,0.0,21.0,101.45,16.1,0
3.3,1.0,85.0,0.0,17.0,101.45,16.1,0
3.8,1.5,85.0,0.0,9.0,101.43,16.1,0
3.8,1.5,85.0,0.0,11.0,101.35,16.1,0
3.3,1.4,87.0,0.2,8.0,101.25,11.3,5
3.4,1.8,89.0,0.5,13.0,100.99,16.1,5
4.1,2.2,87.0,0.2,18.0,100.85,16.1,0
4.7,2.0,83.0,0.0,26.0,100.61,16.1,0
4.7,2.1,83.0,0.0,34.0,100.44,16.1,0
5.9,0.8,70.0,0.0,24.0,100.28,16.1,0
6.2,0.2,65.0,0.0,24.0,100.1,16.1,0
6.5,0.2,64.0,0.0,26.0,99.99,16.1,0
7.0,-1.1,56.0,0.0,18.0,99.86,16.1,0
6.7,-1.1,58.0,0.0,21.0,99.68,16.1,0
6.1,1.0,70.0,0.2,13.0,99.57,16.1,5
6.1,2.2,76.0,0.2,8.0,99.43,16.1,5
6.2,1.6,72.0,0.2,18.0,99.34,16.1,5
5.6,4.6,93.0,1.5,37.0,99.23,9.7,2
5.7,2.6,81.0,0.2,52.0,99.23,16.1,0
3.7,1.4,85.0,0.0,39.0,99.46,16.1,0
3.3,0.1,80.0,0.0,37.0,99.72,16.1,0
2.8,-0.1,81.0,0.0,21.0,99.87,16.1,0
2.4,-1.9,73.0,0.0,37.0,100.1,16.1,0
1.8,-2.3,74.0,0.0,28.0,100.3,16.1,0
1.3,-1.8,80.0,0.0,22.0,100.4,16.1,0
1.4,-2.3,76.0,0.0,26.0,100.52,16.1,0
2.2,-1.7,75.0,0.0,30.0,100.56,16.1,0
2.8,-2.4,69.0,0.0,32.0,100.6,16.1,0
3.6,-3.7,59.0,0.0,30.0,100.69,16.1,0
2.8,-4.6,58.0,0.0,32.0,100.72,16.1,0
2.1,-3.2,68.0,0.0,26.0,100.74,16.1,5
2.0,-3.2,68.0,0.0,30.0,100.75,16.1,0
2.0,-4.9,61.0,0.0,24.0,100.79,16.1,0
1.3,-5.1,62.0,0.0,21.0,100.87,16.1,0
0.8,-3.1,75.0,0.0,21.0,100.94,16.1,0
0.5,-4.3,70.0,0.0,22.0,100.98,16.1,0
-0.4,-4.1,76.0,0.0,18.0,101.0,16.1,0
-0.8,-4.6,76.0,0.0,21.0,101.03,16.1,0
-0.9,-5.4,72.0,0.0,22.0,101.05,16.1,0
-1.6,-5.8,73.0,0.0,22.0,101.04,16.1,0
-2.2,-5.8,77.0,0.0,15.0,101.04,16.1,0
-2.7,-6.5,75.0,0.0,13.0,101.06,16.1,0
-2.9,-6.4,77.0,0.0,13.0,101.03,16.1,0
-3.2,-6.5,78.0,0.0,15.0,101.06,16.1,0
-3.3,-6.5,79.0,0.0,13.0,101.08,16.1,0
-3.9,-6.7,81.0,0.0,9.0,101.11,16.1,0
-3.8,-6.8,80.0,0.0,9.0,101.12,16.1,0
-3.2,-7.2,74.0,0.0,13.0,101.16,16.1,0
-3.7,-8.2,71.0,0.0,11.0,101.18,16.1,0
-2.9,-7.6,70.0,0.0,13.0,101.21,16.1,0
-1.7,-7.3,66.0,0.0,9.0,101.21,16.1,0
-0.7,-6.7,64.0,0.0,8.0,101.22,16.1,0
0.7,-6.8,58.0,0.0,9.0,101.21,16.1,0
1.3,-7.2,53.0,0.0,15.0,101.14,16.1,0
1.5,-5.7,59.0,0.0,13.0,101.08,16.1,0
1.8,-6.2,55.0,0.0,13.0,101.03,16.1,0
1.9,-4.8,61.0,0.0,18.0,101.03,16.1,0
1.2,-2.9,74.0,0.0,15.0,101.03,16.1,0
0.8,-1.6,84.0,0.0,11.0,101.03,16.1,0
1.1,-1.1,85.0,0.0,13.0,101.07,16.1,0
1.9,-1.0,81.0,0.0,13.0,101.09,16.1,5
2.5,-1.9,73.0,0.0,22.0,101.08,16.1,5
1.9,-1.0,81.0,0.0,22.0,101.1,16.1,5
1.3,0.7,96.0,0.0,9.0,101.08,16.1,5
1.4,0.5,93.0,0.0,18.0,101.1,14.5,1
1.4,-0.7,86.0,0.2,11.0,101.09,16.1,1
1.1,-0.7,88.0,0.0,13.0,101.07,8.1,1
1.3,-0.6,87.0,0.0,9.0,101.09,16.1,0
1.2,-1.1,85.0,0.0,13.0,101.15,16.1,5
1.1,-1.0,86.0,0.0,9.0,101.18,16.1,5
0.6,-0.1,95.0,0.0,13.0,101.25,4.8,1
0.7,-0.9,89.0,0.0,11.0,101.31,11.3,1
1.0,-0.9,87.0,0.0,11.0,101.4,12.9,0
1.1,-1.0,86.0,0.0,15.0,101.48,11.3,0
1.9,-0.3,85.0,0.0,15.0,101.55,11.3,0
2.4,0.1,85.0,0.0,15.0,101.62,9.7,3
3.1,0.4,82.0,0.0,9.0,101.67,11.3,0
4.4,1.0,78.0,0.0,11.0,101.68,12.9,0
7.0,-0.3,60.0,0.0,21.0,101.66,16.1,0
6.3,-1.1,59.0,0.0,18.0,101.68,16.1,0
6.1,-0.8,61.0,0.0,18.0,101.73,16.1,0
5.6,-0.9,63.0,0.0,22.0,101.82,16.1,0
5.2,-0.6,66.0,0.0,15.0,101.9,16.1,0
4.4,-0.5,70.0,0.0,15.0,101.97,16.1,0
4.1,0.8,79.0,0.0,17.0,102.04,16.1,0
3.7,0.1,77.0,0.0,9.0,102.09,16.1,0
3.0,0.1,81.0,0.0,11.0,102.15,16.1,0
3.1,0.0,80.0,0.0,8.0,102.22,16.1,0
2.6,0.3,85.0,0.0,8.0,102.23,16.1,0
2.7,0.4,85.0,0.0,8.0,102.25,16.1,0
1.3,-0.5,88.0,0.0,4.0,102.28,14.5,0
1.1,0.7,97.0,0.0,5.0,102.36,14.5,0
1.1,1.0,99.0,0.0,8.0,102.44,9.7,3
-0.3,-0.3,100.0,0.0,0.0,102.46,4.8,3
2.1,2.0,99.0,0.0,8.0,102.5,8.1,3
2.0,2.0,100.0,0.0,8.0,102.54,6.4,3
1.9,1.9,100.0,0.0,11.0,102.56,6.4,3
2.2,2.2,100.0,0.0,17.0,102.61,6.4,3
4.7,3.9,95.0,0.0,15.0,102.66,9.7,3
6.1,1.6,73.0,0.0,15.0,102.66,16.1,0
6.2,1.1,70.0,0.0,15.0,102.64,16.1,0
7.1,1.0,65.0,0.0,9.0,102.57,16.1,0
7.4,1.3,65.0,0.0,13.0,102.49,16.1,0
7.4,1.1,64.0,0.0,13.0,102.44,16.1,0
7.4,1.9,68.0,0.0,15.0,102.38,16.1,0
7.0,2.5,73.0,0.0,17.0,102.32,16.1,0
6.2,3.2,81.0,0.0,18.0,102.31,16.1,0
6.1,3.9,86.0,0.0,15.0,102.3,16.1,0
6.8,4.0,82.0,0.0,17.0,102.31,16.1,0
6.4,4.2,86.0,0.0,15.0,102.26,16.1,0
6.5,3.8,83.0,0.0,15.0,102.23,16.1,0
6.4,3.0,79.0,0.0,9.0,102.23,16.1,0
6.5,2.4,75.0,0.0,9.0,102.23,16.1,0
6.9,2.1,72.0,0.0,8.0,102.25,16.1,0
6.6,2.7,76.0,0.0,8.0,102.22,16.1,0
6.5,2.4,75.0,0.0,8.0,102.23,16.1,0
6.6,2.9,77.0,0.0,0.0,102.23,16.1,0
6.7,3.3,79.0,0.0,5.0,102.2,16.1,0
7.0,3.6,79.0,0.0,5.0,102.22,16.1,0
7.0,3.7,79.0,0.0,9.0,102.23,16.1,0
7.7,4.0,77.0,0.0,17.0,102.24,16.1,0
7.5,4.3,80.0,0.0,9.0,102.27,16.1,0
7.8,4.4,79.0,0.0,4.0,102.28,16.1,0
8.1,4.7,79.0,0.0,15.0,102.31,16.1,0
8.5,4.8,77.0,0.0,17.0,102.28,16.1,0
8.8,4.8,76.0,0.0,13.0,102.19,16.1,0
9.8,4.8,71.0,0.0,28.0,102.1,16.1,0
9.8,5.1,72.0,0.0,22.0,102.01,16.1,0
10.0,5.0,71.0,0.0,24.0,102.0,16.1,0
9.9,5.2,73.0,0.0,21.0,102.01,16.1,0
9.9,5.5,74.0,0.0,17.0,101.95,16.1,0
9.8,5.6,75.0,0.0,8.0,101.93,16.1,0
8.7,5.6,81.0,0.0,4.0,101.87,16.1,0
9.1,6.2,82.0,0.0,13.0,101.83,16.1,0
9.5,6.2,80.0,0.0,9.0,101.79,16.1,0
9.8,6.0,77.0,0.0,4.0,101.75,16.1,0
9.1,5.9,80.0,0.0,8.0,101.73,16.1,0
10.0,6.0,76.0,0.0,21.0,101.69,16.1,0
8.8,5.9,82.0,0.0,15.0,101.66,16.1,0
9.9,6.1,77.0,0.0,15.0,101.63,16.1,0
9.2,5.9,80.0,0.0,11.0,101.61,16.1,0
9.6,5.8,77.0,0.0,11.0,101.53,16.1,0
9.5,5.8,77.0,0.0,9.0,101.5,16.1,0
9.8,5.8,76.0,0.0,22.0,101.45,16.1,0
9.6,5.8,77.0,0.0,22.0,101.42,16.1,0
9.3,6.1,80.0,0.0,15.0,101.41,16.1,0
9.5,6.2,80.0,0.0,17.0,101.39,16.1,0
9.4,6.5,82.0,0.0,22.0,101.37,16.1,5
8.7,7.0,89.0,0.2,21.0,101.33,16.1,5
9.1,9.0,99.0,0.2,28.0,101.28,16.1,5
9.2,9.2,100.0,0.2,30.0,101.23,16.1,5
9.1,9.1,100.0,0.0,26.0,101.18,16.1,0
9.9,9.8,99.0,0.2,17.0,101.22,4.8,2
7.2,6.3,94.0,0.8,32.0,101.3,12.9,5
6.0,4.9,93.0,0.0,32.0,101.41,16.1,5
4.7,2.4,85.0,0.8,26.0,101.52,9.7,5
3.8,2.0,88.0,0.2,24.0,101.6,16.1,5
3.5,1.1,84.0,0.0,21.0,101.68,16.1,5
2.8,0.2,83.0,0.2,22.0,101.72,16.1,5
2.5,0.4,86.0,0.8,17.0,101.71,16.1,5
2.2,-0.5,83.0,0.2,17.0,101.79,16.1,0
2.2,-0.7,81.0,0.0,11.0,101.8,16.1,0
2.2,-0.7,81.0,0.0,8.0,101.8,16.1,0
2.1,-1.0,80.0,0.0,13.0,101.86,16.1,0
1.8,-1.3,80.0,0.0,18.0,101.85,16.1,0
1.5,-1.5,80.0,0.0,13.0,101.81,16.1,0
1.4,-1.7,80.0,0.0,17.0,101.82,16.1,0
1.3,-1.8,80.0,0.0,9.0,101.83,16.1,0
1.2,-1.9,80.0,0.0,9.0,101.9,16.1,0
1.0,-2.2,79.0,0.0,13.0,101.89,16.1,0
1.2,-2.1,79.0,0.0,8.0,101.92,16.1,0
0.8,-2.6,78.0,0.0,11.0,101.9,16.1,0
0.2,-3.0,79.0,0.0,15.0,101.9,16.1,0
0.4,-3.0,78.0,0.0,11.0,101.82,16.1,0
1.4,-3.2,72.0,0.0,8.0,101.78,16.1,0
1.9,-2.9,71.0,0.0,9.0,101.76,16.1,0
1.3,-2.7,75.0,0.0,8.0,101.74,16.1,0
1.3,-2.5,76.0,0.0,8.0,101.73,16.1,0
0.2,-2.7,81.0,0.0,8.0,101.73,16.1,0
0.5,-3.0,77.0,0.0,4.0,101.75,16.1,0
-0.1,-3.3,79.0,0.0,4.0,101.79,16.1,0
0.8,-2.6,78.0,0.0,8.0,101.83,16.1,0
0.0,-3.9,75.0,0.0,8.0,101.82,16.1,0
-0.4,-4.2,76.0,0.0,8.0,101.76,16.1,0
-0.4,-4.0,77.0,0.0,9.0,101.79,16.1,0
-0.6,-3.9,78.0,0.0,9.0,101.83,16.1,0
